mes_ref;company_id;tipo_doc;max_valor_boleto;avg_valor_boleto;total_valor_boleto;valor_boleto_stdv;qtd_boleto_pago;qtd_boleto_total;qtd_boleto_estorno;qnt_cc_total;tempo_credenciamento;conta_bnk_repetida;fraude
01/08/2020;5f312d31d576d45429e3dace;cnpj;"49,9";"49,9";"548,9";0;7;11;0;9;7;0;0
01/08/2020;5f1508f3c61b83616adcb948;cpf;"50106,22";"6892,44";"117171,53";"11681,14";1;17;1;0;6;1;1
01/08/2020;5e7e06c106b4bd4dcf2f3baf;cnpj;"197,7";"110,55";"1768,87";"46,32";8;16;0;64;11;0;0
01/08/2020;5ebd4010c453ae5801dfc1ec;cnpj;424;"129,44";"3624,4";"106,51";25;28;0;3;9;0;0
01/03/2020;5e74f5e9d1498c5bdf8ab0dd;cnpj;308;"225,16";1351;"58,48";4;6;0;1;11;0;0
01/03/2020;5e7900c6b8e516484c79d7bc;cnpj;"580,5";"171,74";"4980,62";"86,13";20;29;0;12;11;0;0
01/04/2020;5e693c72d5511d6da34fa9be;cnpj;"191,7";"134,04";"670,2";"48,88";2;5;0;97;12;0;0
01/04/2020;5e7900c6b8e516484c79d7bc;cnpj;360;"158,54";"30282,92";"47,48";106;191;0;38;11;0;0
01/04/2020;5e73911df84ce3362c22ae23;cnpj;316;"233,46";"3268,5";"71,88";6;14;0;10;11;0;0
01/04/2020;5e7ba390c17b5474ec901a42;cpf;550;350;700;"282,84";2;2;0;39;11;0;0
01/04/2020;5e874b3e804a590f05458cfa;cnpj;1320;1320;2640;0;0;2;0;4;11;0;0
01/05/2020;5ea04ca587c2e773a4653c88;cnpj;"197,5";"197,5";"197,5";0;1;1;0;61;10;0;0
01/05/2020;5e8b3a051a092b6e4539d699;cnpj;334;"118,07";"2243,5";"68,58";12;19;0;57;11;0;0
01/05/2020;5e7bd058afdeb53785d083ae;cnpj;"258,69";"189,34";"378,69";"98,07";2;2;0;17;11;0;0
01/05/2020;5eb631a8509de31c937c94bb;cpf;37;37;37;0;0;1;0;0;10;0;0
01/05/2020;5e8b31d597aeba54644ed1e1;cnpj;300;300;600;0;2;2;0;4;11;0;0
01/06/2020;5ebd5321ea317a3f0b10f77d;cnpj;2000;"145,16";9000;"278,99";47;62;0;112;9;0;0
01/06/2020;5e6945560f56672a3ed93cd9;cnpj;"25,9";"25,9";"25,9";0;1;1;0;11;12;0;0
01/02/2020;5e59212dc9a9167605c1de9c;cnpj;90;90;270;0;0;3;0;0;12;0;0
01/02/2020;5e45c8744c2b5d02bc8c9eaa;cpf;"79,99";"79,99";"79,99";0;0;1;0;5;0;0;0
01/03/2020;5e7a2e9092eb6a78f60f9c2d;cnpj;278;"222,6";1113;"35,27";3;5;0;1;11;0;0
01/03/2020;5e78f359ccf7b661068dea92;cnpj;180;"57,42";1206;"40,1";19;21;0;78;11;0;0
01/04/2020;5e74c3c586c0446eb7146cf3;cnpj;99;79;237;"17,32";2;3;0;1;11;0;0
01/04/2020;5e7cbc38f2eebc591d523154;cnpj;360;"148,35";"3560,45";"65,91";17;24;0;0;11;0;0
01/04/2020;5e7ca55bf1655b1261b893bd;cnpj;265;255;765;"8,66";3;3;0;5;11;0;0
01/04/2020;5e5ff0615e111222366ff7c8;cpf;"180,4";"180,4";"180,4";0;1;1;0;10;12;0;0
01/05/2020;5e7bcf2c70f1002599d1efe9;cnpj;"154,9";"147,45";"294,9";"10,54";2;2;0;38;11;0;0
01/05/2020;5e81f86ae4ceb07990623ab6;cnpj;324;254;762;"114,39";2;3;0;62;11;0;0
01/05/2020;5e9dfc06b835e6475a2460a7;cnpj;"249,8";235;470;"20,93";2;2;0;33;10;0;0
01/05/2020;5e8370f928b100238967a1d5;cnpj;261;"204,64";2865;"25,6";8;14;0;7;11;0;0
01/05/2020;5ea1888ad35f0a690a3ce634;cnpj;"97,9";"72,29";"4193,2";"35,71";37;58;0;197;10;0;0
01/05/2020;5e8361ece1879b238eab8f72;cnpj;480;145;6090;"68,83";27;42;0;12;10;0;0
01/05/2020;5e7c0c4c66a2e471567733a4;cnpj;"359,77";"191,06";"1719,57";"85,65";8;9;0;3;11;0;0
01/05/2020;5e792462f5c4577b9e40d795;cnpj;"47,9";"46,27";509;"5,4";7;11;0;9;11;0;0
01/05/2020;5e8de086d7ef657f6e59114f;cnpj;99;92;184;"9,9";1;2;0;9;11;0;0
01/05/2020;5ec46ded7004d836c5268840;cnpj;73;"49,95";"99,9";"32,6";1;2;0;3;9;0;0
01/06/2020;5edd69d1ec6ccd1aad6dbd14;cpf;"4602,75";"2356,52";"23565,21";"1522,47";0;10;0;0;1;0;0
01/06/2020;5e8e4d8d1f86544dc1505ed6;cpf;240;240;240;0;0;1;0;3;11;0;0
01/06/2020;5e8ba162d7a237656d5992e3;cpf;175;175;175;0;1;1;0;3;11;0;0
01/06/2020;5ec2e26f7cfdbb78901cc55b;cpf;181;"177,66";1066;"8,16";6;6;0;3;9;0;0
01/06/2020;5e88fac050c55449f1a3ee14;cpf;265;116;580;"90,32";4;5;0;15;11;0;0
01/06/2020;5ecd7a414f64cb25672497b7;cnpj;159;159;159;0;0;1;0;5;9;0;0
01/07/2020;5e45fedc62c5332b85ae3570;cnpj;607;"464,11";4177;"238,68";3;9;0;17;12;0;0
